TRP=22195.8984, LON=90.138016, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.119034
TRP=22196.4609, LON=90.137222, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.120085
TRP=22196.9375, LON=90.136642, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.120836
TRP=22197.4375, LON=90.136106, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.121566
TRP=22197.8672, LON=90.135591, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.122317
TRP=22198.2969, LON=90.13469, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.123454
TRP=22198.8594, LON=90.134175, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.124205
TRP=22199.3281, LON=90.133102, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.125621
TRP=22199.8594, LON=90.132523, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.126372
TRP=22200.3672, LON=90.131686, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.127488
TRP=22200.9297, LON=90.130892, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.128604
TRP=22201.4922, LON=90.130033, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.129741
TRP=22201.9219, LON=90.129454, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.130471
TRP=22202.3281, LON=90.128939, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.1312
